employeenumber,department,jobrole,joblevel,educationfield,gender,age,age_band,monthlyincome,overtime,overtime_flag,distancefromhome,jobsatisfaction,worklifebalance,tenure_years,tenure_band,attrition,attrition_flag
343,Research & Development,Healthcare Representative,3,Technical Degree,Female,39,35-44,10938,No,0,2,3,3,19,10+,No,0
346,Research & Development,Research Scientist,1,Life Sciences,Male,29,25-34,2340,No,0,15,4,3,6,5-10,No,0
347,Research & Development,Research Scientist,2,Life Sciences,Female,42,35-44,6545,Yes,1,17,1,3,3,2-5,No,0
349,Sales,Sales Executive,2,Marketing,Male,29,25-34,6931,No,0,20,4,3,3,2-5,No,0
350,Research & Development,Manufacturing Director,2,Life Sciences,Female,25,25-34,4898,No,0,1,3,3,4,2-5,No,0
351,Research & Development,Laboratory Technician,1,Medical,Female,42,35-44,2593,Yes,1,2,1,3,9,5-10,No,0
352,Research & Development,Research Director,5,Medical,Male,40,35-44,19436,No,0,2,3,3,21,10+,No,0
353,Research & Development,Research Scientist,1,Life Sciences,Male,51,45-54,2723,No,0,1,4,2,1,0-1,No,0
355,Research & Development,Laboratory Technician,1,Medical,Male,31,25-34,3479,No,0,29,2,4,5,2-5,Yes,1
359,Research & Development,Laboratory Technician,1,Life Sciences,Male,32,25-34,2794,No,0,7,2,1,5,2-5,No,0
361,Sales,Sales Executive,2,Life Sciences,Male,38,35-44,5249,No,0,2,4,3,8,5-10,No,0
362,Research & Development,Laboratory Technician,2,Technical Degree,Male,32,25-34,2176,No,0,2,1,3,6,5-10,No,0
363,Sales,Manager,4,Technical Degree,Female,46,45-54,16872,Yes,1,2,2,2,7,5-10,No,0
364,Research & Development,Laboratory Technician,1,Life Sciences,Male,28,25-34,3485,No,0,2,3,1,0,0-1,Yes,1
366,Sales,Sales Executive,2,Medical,Male,29,25-34,6644,No,0,2,2,3,0,0-1,No,0
367,Research & Development,Healthcare Representative,2,Medical,Male,31,25-34,5582,No,0,23,4,3,9,5-10,No,0
369,Research & Development,Healthcare Representative,2,Life Sciences,Male,25,25-34,4000,No,0,5,1,3,6,5-10,No,0
372,Research & Development,Healthcare Representative,4,Medical,Male,45,45-54,13496,Yes,1,20,4,3,20,10+,No,0
373,Research & Development,Laboratory Technician,1,Life Sciences,Male,36,35-44,3210,No,0,6,4,3,15,10+,No,0
374,Research & Development,Manager,5,Medical,Male,55,55+,19045,Yes,1,1,1,3,36,10+,No,0
376,Research & Development,Manager,3,Life Sciences,Male,47,45-54,11849,Yes,1,29,2,2,10,5-10,Yes,1
377,Research & Development,Research Scientist,1,Medical,Male,28,25-34,2070,No,0,9,4,2,5,2-5,No,0
378,Sales,Sales Executive,2,Medical,Male,37,35-44,6502,No,0,6,4,4,5,2-5,No,0
379,Research & Development,Research Scientist,1,Medical,Male,21,<25,3230,No,0,3,3,4,3,2-5,No,0
380,Research & Development,Research Director,3,Medical,Female,37,35-44,13603,Yes,1,1,4,3,5,2-5,No,0
381,Research & Development,Manager,3,Life Sciences,Female,35,35-44,11996,No,0,22,2,2,7,5-10,No,0
382,Sales,Sales Executive,2,Medical,Female,38,35-44,5605,Yes,1,7,1,3,8,5-10,No,0
384,Research & Development,Manufacturing Director,2,Life Sciences,Female,26,25-34,6397,No,0,1,2,1,6,5-10,No,0
385,Research & Development,Research Director,5,Life Sciences,Male,50,45-54,19144,No,0,4,2,2,10,5-10,No,0
386,Research & Development,Research Director,4,Medical,Male,53,45-54,17584,Yes,1,3,3,2,5,2-5,No,0
387,Sales,Sales Executive,2,Life Sciences,Male,42,35-44,4907,No,0,1,3,3,20,10+,No,0
388,Sales,Sales Executive,2,Life Sciences,Male,29,25-34,4554,No,0,2,4,2,10,5-10,No,0
389,Research & Development,Laboratory Technician,2,Technical Degree,Male,55,55+,5415,Yes,1,20,4,3,10,5-10,No,0
390,Research & Development,Healthcare Representative,2,Medical,Male,26,25-34,4741,Yes,1,11,1,3,5,2-5,No,0
391,Research & Development,Research Scientist,1,Life Sciences,Female,37,35-44,2115,No,0,1,4,3,17,10+,No,0
392,Research & Development,Laboratory Technician,1,Life Sciences,Male,44,35-44,3161,Yes,1,24,3,1,1,0-1,Yes,1
393,Research & Development,Healthcare Representative,2,Life Sciences,Male,38,35-44,5745,No,0,23,4,3,2,1-2,No,0
394,Research & Development,Laboratory Technician,1,Medical,Male,26,25-34,2373,Yes,1,16,2,3,3,2-5,Yes,1
395,Research & Development,Research Scientist,1,Life Sciences,Female,28,25-34,3310,No,0,8,4,3,5,2-5,No,0
396,Research & Development,Research Director,5,Life Sciences,Female,49,45-54,18665,Yes,1,10,1,3,3,2-5,No,0
397,Research & Development,Research Scientist,2,Technical Degree,Male,36,35-44,4485,No,0,3,2,3,8,5-10,No,0
399,Sales,Sales Representative,1,Marketing,Female,31,25-34,2789,No,0,5,2,2,2,1-2,No,0
401,Sales,Sales Executive,2,Marketing,Male,26,25-34,5828,Yes,1,4,4,3,8,5-10,Yes,1
403,Research & Development,Research Scientist,1,Medical,Male,37,35-44,2326,Yes,1,9,4,2,4,2-5,No,0
404,Sales,Sales Executive,4,Marketing,Female,42,35-44,13525,No,0,26,2,4,20,10+,No,0
405,Research & Development,Laboratory Technician,1,Life Sciences,Male,18,<25,1420,No,0,3,3,3,0,0-1,Yes,1
406,Sales,Sales Executive,3,Marketing,Male,35,35-44,8020,No,0,16,2,2,11,10+,No,0
407,Research & Development,Laboratory Technician,1,Life Sciences,Male,36,35-44,3688,No,0,18,4,3,1,0-1,No,0
408,Research & Development,Manufacturing Director,2,Medical,Male,51,45-54,5482,No,0,2,2,3,4,2-5,No,0
410,Sales,Manager,4,Life Sciences,Male,41,35-44,16015,No,0,2,2,3,22,10+,No,0
411,Sales,Sales Representative,1,Medical,Female,18,<25,1200,No,0,10,3,3,0,0-1,No,0
412,Research & Development,Healthcare Representative,2,Medical,Male,28,25-34,5661,No,0,16,1,3,8,5-10,No,0
416,Sales,Sales Executive,2,Technical Degree,Male,31,25-34,6929,No,0,7,4,2,8,5-10,No,0
417,Research & Development,Healthcare Representative,3,Medical,Male,39,35-44,9613,No,0,1,4,2,18,10+,No,0
419,Research & Development,Laboratory Technician,2,Life Sciences,Female,36,35-44,5674,No,0,24,2,3,9,5-10,No,0
420,Sales,Sales Executive,2,Life Sciences,Male,32,25-34,5484,No,0,7,3,2,13,10+,No,0
421,Research & Development,Research Director,3,Life Sciences,Female,38,35-44,12061,No,0,25,2,3,10,5-10,No,0
422,Research & Development,Healthcare Representative,2,Life Sciences,Male,58,55+,5660,Yes,1,1,3,3,5,2-5,No,0
423,Research & Development,Research Scientist,1,Technical Degree,Male,31,25-34,4821,Yes,1,5,4,3,5,2-5,No,0
424,Human Resources,Human Resources,2,Human Resources,Male,31,25-34,6410,No,0,2,1,3,2,1-2,No,0
425,Research & Development,Laboratory Technician,3,Life Sciences,Male,45,45-54,5210,No,0,7,1,3,24,10+,No,0
426,Research & Development,Research Scientist,1,Life Sciences,Male,31,25-34,2695,Yes,1,2,4,1,2,1-2,No,0
428,Research & Development,Manager,3,Life Sciences,Female,33,25-34,11878,No,0,5,2,3,10,5-10,No,0
429,Research & Development,Manager,4,Medical,Male,39,35-44,17068,Yes,1,10,1,3,21,10+,No,0
430,Research & Development,Laboratory Technician,1,Life Sciences,Female,43,35-44,2455,No,0,10,4,3,8,5-10,No,0
431,Research & Development,Healthcare Representative,4,Technical Degree,Female,49,45-54,13964,Yes,1,1,3,3,7,5-10,No,0
433,Research & Development,Research Scientist,2,Medical,Male,52,45-54,4941,No,0,8,2,2,8,5-10,Yes,1
434,Research & Development,Research Scientist,1,Life Sciences,Female,27,25-34,2478,Yes,1,5,2,2,4,2-5,No,0
436,Sales,Sales Executive,2,Technical Degree,Female,32,25-34,5228,Yes,1,8,2,3,13,10+,No,0
437,Sales,Sales Executive,2,Life Sciences,Male,27,25-34,4478,Yes,1,2,3,3,5,2-5,No,0
438,Sales,Sales Executive,2,Marketing,Male,31,25-34,7547,No,0,7,4,3,7,5-10,No,0
439,Research & Development,Research Scientist,2,Medical,Female,32,25-34,5055,No,0,2,4,2,7,5-10,No,0
440,Research & Development,Research Scientist,1,Medical,Male,28,25-34,3464,Yes,1,2,4,2,3,2-5,Yes,1
441,Research & Development,Research Scientist,2,Medical,Female,30,25-34,5775,No,0,28,4,3,10,5-10,No,0
442,Research & Development,Manufacturing Director,3,Life Sciences,Female,31,25-34,8943,No,0,7,3,3,10,5-10,No,0
444,Research & Development,Manager,5,Medical,Male,39,35-44,19272,No,0,7,4,3,21,10+,No,0
445,Sales,Sales Executive,2,Medical,Female,39,35-44,5238,Yes,1,3,3,2,1,0-1,Yes,1
446,Sales,Sales Executive,2,Marketing,Male,33,25-34,4682,No,0,10,4,2,7,5-10,No,0
447,Research & Development,Research Director,5,Life Sciences,Male,47,45-54,18300,No,0,5,3,3,3,2-5,No,0
448,Research & Development,Laboratory Technician,2,Life Sciences,Female,43,35-44,5257,No,0,10,3,4,9,5-10,No,0
449,Sales,Sales Executive,2,Marketing,Male,27,25-34,6349,Yes,1,1,2,3,5,2-5,No,0
450,Research & Development,Research Scientist,2,Life Sciences,Female,54,45-54,4869,No,0,20,3,2,4,2-5,No,0
451,Research & Development,Healthcare Representative,3,Life Sciences,Female,43,35-44,9985,No,0,7,1,2,1,0-1,No,0
452,Research & Development,Research Scientist,2,Other,Male,45,45-54,3697,No,0,8,4,3,10,5-10,No,0
453,Sales,Sales Executive,2,Medical,Male,40,35-44,7457,Yes,1,1,4,2,4,2-5,No,0
454,Research & Development,Laboratory Technician,1,Other,Male,29,25-34,2119,Yes,1,8,1,2,7,5-10,Yes,1
455,Research & Development,Laboratory Technician,1,Other,Male,29,25-34,3983,No,0,9,4,3,3,2-5,No,0
456,Sales,Sales Executive,2,Marketing,Female,30,25-34,6118,No,0,5,3,3,10,5-10,No,0
458,Sales,Sales Executive,2,Marketing,Female,27,25-34,6214,No,0,8,2,3,8,5-10,No,0
460,Research & Development,Manufacturing Director,2,Medical,Male,37,35-44,6347,No,0,5,4,2,6,5-10,No,0
461,Research & Development,Research Director,3,Life Sciences,Male,38,35-44,11510,Yes,1,15,4,3,11,10+,No,0
462,Research & Development,Manufacturing Director,3,Medical,Female,31,25-34,7143,Yes,1,7,4,2,11,10+,No,0
463,Sales,Sales Executive,2,Marketing,Female,29,25-34,8268,Yes,1,10,2,3,7,5-10,No,0
464,Research & Development,Manufacturing Director,3,Technical Degree,Male,35,35-44,8095,No,0,5,2,3,16,10+,No,0
465,Research & Development,Research Scientist,1,Life Sciences,Male,23,<25,2904,No,0,26,4,2,4,2-5,No,0
466,Research & Development,Manufacturing Director,2,Medical,Male,41,35-44,6032,Yes,1,6,2,3,5,2-5,No,0
467,Sales,Sales Representative,2,Medical,Male,47,45-54,2976,No,0,4,3,3,0,0-1,No,0
468,Research & Development,Research Director,4,Life Sciences,Female,42,35-44,15992,No,0,23,4,3,1,0-1,No,0
469,Sales,Sales Executive,2,Life Sciences,Male,29,25-34,4649,No,0,2,3,2,4,2-5,No,0
470,Human Resources,Human Resources,1,Technical Degree,Male,42,35-44,2696,Yes,1,2,3,3,3,2-5,No,0
471,Research & Development,Laboratory Technician,1,Medical,Female,32,25-34,2370,No,0,2,2,3,8,5-10,No,0
473,Sales,Manager,3,Medical,Female,48,45-54,12504,No,0,29,3,1,0,0-1,No,0
474,Research & Development,Research Scientist,2,Medical,Male,37,35-44,5974,Yes,1,6,1,3,7,5-10,No,0
475,Sales,Sales Executive,2,Technical Degree,Female,30,25-34,4736,Yes,1,25,3,4,2,1-2,No,0
476,Sales,Sales Executive,2,Life Sciences,Male,26,25-34,5296,No,0,1,3,3,8,5-10,No,0
477,Research & Development,Healthcare Representative,2,Other,Male,42,35-44,6781,No,0,2,4,3,1,0-1,No,0
478,Sales,Sales Representative,1,Technical Degree,Female,21,<25,2174,Yes,1,1,2,3,3,2-5,Yes,1
479,Sales,Sales Executive,2,Medical,Female,36,35-44,6653,No,0,1,4,3,1,0-1,No,0
481,Sales,Sales Executive,3,Medical,Male,36,35-44,9699,No,0,3,4,3,13,10+,No,0
482,Research & Development,Healthcare Representative,2,Medical,Male,57,55+,6755,No,0,1,3,3,3,2-5,No,0
483,Research & Development,Laboratory Technician,1,Life Sciences,Female,40,35-44,2213,Yes,1,10,3,3,7,5-10,No,0
484,Sales,Sales Representative,1,Medical,Male,21,<25,2610,No,0,9,4,2,3,2-5,No,0
485,Sales,Sales Representative,1,Marketing,Female,33,25-34,2851,Yes,1,5,3,3,1,0-1,Yes,1
486,Research & Development,Laboratory Technician,1,Medical,Female,37,35-44,3452,No,0,10,1,3,5,2-5,No,0
487,Research & Development,Manufacturing Director,2,Medical,Female,46,45-54,5258,No,0,7,3,4,1,0-1,No,0
488,Sales,Sales Executive,2,Marketing,Male,41,35-44,9355,No,0,4,2,3,8,5-10,Yes,1
491,Research & Development,Healthcare Representative,3,Technical Degree,Male,50,45-54,10496,No,0,10,4,3,4,2-5,No,0
492,Sales,Sales Executive,2,Marketing,Male,40,35-44,6380,Yes,1,22,3,3,6,5-10,Yes,1
493,Research & Development,Research Scientist,1,Life Sciences,Male,31,25-34,2657,Yes,1,9,2,3,2,1-2,No,0
494,Sales,Sales Representative,1,Life Sciences,Female,21,<25,2716,No,0,12,2,3,1,0-1,Yes,1
495,Research & Development,Research Scientist,1,Life Sciences,Male,29,25-34,2201,No,0,23,4,3,3,2-5,No,0
496,Research & Development,Healthcare Representative,2,Life Sciences,Male,35,35-44,6540,No,0,9,2,3,1,0-1,No,0
497,Research & Development,Laboratory Technician,1,Medical,Male,27,25-34,3816,No,0,1,2,3,5,2-5,No,0
498,Sales,Sales Executive,2,Life Sciences,Male,28,25-34,5253,No,0,9,4,3,7,5-10,No,0
499,Research & Development,Healthcare Representative,3,Other,Male,49,45-54,10965,No,0,7,3,3,5,2-5,No,0
500,Sales,Sales Executive,2,Life Sciences,Female,51,45-54,4936,No,0,14,4,2,7,5-10,No,0
501,Research & Development,Research Scientist,1,Life Sciences,Female,36,35-44,2543,No,0,2,3,3,2,1-2,No,0
502,Sales,Sales Executive,2,Marketing,Male,34,25-34,5304,Yes,1,19,4,2,5,2-5,Yes,1
505,Research & Development,Manager,4,Life Sciences,Female,55,55+,16659,Yes,1,2,4,3,5,2-5,No,0
507,Sales,Sales Executive,2,Marketing,Female,24,<25,4260,Yes,1,10,3,4,5,2-5,No,0
508,Sales,Sales Representative,1,Technical Degree,Male,30,25-34,2476,No,0,2,2,3,1,0-1,No,0
510,Research & Development,Research Scientist,1,Technical Degree,Male,26,25-34,3102,No,0,3,1,3,6,5-10,Yes,1
511,Research & Development,Research Scientist,1,Medical,Female,22,<25,2244,No,0,11,2,3,2,1-2,No,0
513,Sales,Sales Executive,3,Medical,Male,36,35-44,7596,No,0,2,3,3,10,5-10,No,0
514,Research & Development,Research Scientist,1,Technical Degree,Male,30,25-34,2285,Yes,1,4,4,3,1,0-1,Yes,1
515,Research & Development,Laboratory Technician,1,Life Sciences,Female,37,35-44,3034,No,0,14,1,2,18,10+,No,0
516,Sales,Sales Executive,2,Marketing,Female,40,35-44,5715,No,0,2,2,3,5,2-5,No,0
517,Research & Development,Laboratory Technician,1,Life Sciences,Female,42,35-44,2576,No,0,1,1,3,5,2-5,No,0
518,Research & Development,Manufacturing Director,2,Life Sciences,Male,37,35-44,4197,Yes,1,10,2,2,1,0-1,No,0
520,Research & Development,Research Director,4,Life Sciences,Male,43,35-44,14336,No,0,12,2,3,25,10+,No,0
521,Research & Development,Laboratory Technician,2,Medical,Female,40,35-44,3448,No,0,2,3,3,1,0-1,No,0
522,Research & Development,Research Director,5,Medical,Male,54,45-54,19406,No,0,5,1,2,4,2-5,No,0
523,Sales,Sales Executive,2,Marketing,Female,34,25-34,6538,No,0,4,3,3,3,2-5,No,0
524,Research & Development,Manufacturing Director,2,Medical,Female,31,25-34,4306,No,0,7,1,1,13,10+,No,0
525,Research & Development,Laboratory Technician,1,Medical,Male,43,35-44,2258,No,0,21,4,3,3,2-5,No,0
526,Research & Development,Healthcare Representative,2,Other,Female,43,35-44,4522,Yes,1,8,3,3,5,2-5,No,0
527,Sales,Sales Executive,2,Life Sciences,Female,25,25-34,4487,Yes,1,4,4,3,5,2-5,No,0
529,Research & Development,Research Scientist,2,Medical,Female,37,35-44,4449,Yes,1,25,3,3,13,10+,No,0
530,Research & Development,Laboratory Technician,1,Life Sciences,Male,31,25-34,2218,No,0,1,1,3,4,2-5,No,0
531,Research & Development,Manager,5,Life Sciences,Male,39,35-44,19197,Yes,1,1,3,3,21,10+,No,0
532,Sales,Sales Executive,4,Life Sciences,Female,56,55+,13212,No,0,6,1,2,7,5-10,No,0
533,Sales,Sales Executive,2,Technical Degree,Female,30,25-34,6577,No,0,12,3,3,5,2-5,No,0
534,Sales,Sales Executive,3,Marketing,Male,41,35-44,8392,No,0,1,1,3,10,5-10,No,0
536,Research & Development,Laboratory Technician,2,Medical,Male,28,25-34,4558,No,0,17,1,3,10,5-10,No,0
538,Research & Development,Laboratory Technician,1,Medical,Male,25,25-34,4031,No,0,3,1,3,2,1-2,Yes,1
543,Research & Development,Manufacturing Director,3,Medical,Male,52,45-54,7969,Yes,1,3,3,3,5,2-5,No,0
544,Research & Development,Research Scientist,1,Life Sciences,Male,45,45-54,2654,No,0,10,4,2,2,1-2,No,0
546,Research & Development,Manager,4,Life Sciences,Female,52,45-54,16555,No,0,4,4,1,5,2-5,No,0
547,Research & Development,Research Scientist,2,Life Sciences,Female,42,35-44,4556,No,0,29,3,3,5,2-5,No,0
548,Research & Development,Manufacturing Director,2,Life Sciences,Female,30,25-34,6091,No,0,2,4,3,5,2-5,No,0
549,Research & Development,Manager,5,Life Sciences,Female,60,55+,19566,No,0,7,1,1,29,10+,No,0
550,Research & Development,Manufacturing Director,2,Medical,Female,46,45-54,4810,No,0,18,3,2,10,5-10,No,0
551,Research & Development,Healthcare Representative,2,Technical Degree,Female,42,35-44,4523,No,0,28,4,4,6,5-10,No,0
554,Sales,Sales Representative,1,Technical Degree,Female,24,<25,3202,Yes,1,1,2,3,5,2-5,Yes,1
555,Sales,Sales Representative,1,Marketing,Female,34,25-34,2351,No,0,6,3,2,2,1-2,Yes,1
556,Research & Development,Laboratory Technician,1,Life Sciences,Male,38,35-44,1702,Yes,1,2,4,3,1,0-1,No,0
558,Sales,Manager,5,Life Sciences,Female,40,35-44,18041,No,0,2,3,3,20,10+,No,0
560,Research & Development,Research Scientist,1,Life Sciences,Female,26,25-34,2886,No,0,23,4,1,3,2-5,No,0
562,Research & Development,Laboratory Technician,1,Life Sciences,Male,30,25-34,2097,No,0,3,4,1,5,2-5,No,0
564,Research & Development,Research Director,3,Medical,Male,29,25-34,11935,No,0,3,3,3,10,5-10,No,0
565,Research & Development,Research Scientist,1,Technical Degree,Female,29,25-34,2546,No,0,25,2,4,2,1-2,Yes,1
566,Human Resources,Human Resources,1,Technical Degree,Male,19,<25,2564,No,0,2,4,4,1,0-1,Yes,1
567,Sales,Sales Executive,3,Other,Female,30,25-34,8412,No,0,22,1,3,9,5-10,No,0
568,Sales,Manager,4,Marketing,Male,57,55+,14118,No,0,29,4,2,1,0-1,No,0
569,Research & Development,Manager,4,Life Sciences,Male,50,45-54,17046,No,0,29,3,3,27,10+,No,0
571,Research & Development,Laboratory Technician,1,Medical,Female,30,25-34,2564,No,0,2,4,2,11,10+,No,0
573,Sales,Sales Executive,3,Marketing,Female,60,55+,10266,No,0,28,1,4,18,10+,No,0
574,Research & Development,Manufacturing Director,2,Medical,Female,47,45-54,5070,No,0,2,4,3,5,2-5,No,0
575,Research & Development,Research Director,4,Life Sciences,Male,46,45-54,17861,No,0,2,3,1,3,2-5,No,0
577,Research & Development,Laboratory Technician,1,Life Sciences,Male,35,35-44,4230,No,0,22,3,3,5,2-5,No,0
578,Research & Development,Laboratory Technician,2,Life Sciences,Female,54,45-54,3780,No,0,8,3,3,1,0-1,No,0
579,Research & Development,Research Scientist,1,Life Sciences,Male,34,25-34,2768,No,0,2,3,3,7,5-10,No,0
580,Sales,Sales Executive,3,Marketing,Female,46,45-54,9071,Yes,1,10,4,3,3,2-5,No,0
581,Research & Development,Manufacturing Director,3,Life Sciences,Male,31,25-34,10648,No,0,9,2,4,13,10+,No,0
582,Research & Development,Manager,3,Medical,Male,33,25-34,13610,Yes,1,15,3,4,7,5-10,Yes,1
584,Research & Development,Laboratory Technician,1,Medical,Male,33,25-34,3408,No,0,10,4,3,4,2-5,Yes,1
585,Sales,Sales Representative,1,Marketing,Male,30,25-34,2983,No,0,7,2,3,3,2-5,No,0
586,Research & Development,Healthcare Representative,3,Life Sciences,Male,35,35-44,7632,Yes,1,16,3,3,8,5-10,No,0
587,Research & Development,Healthcare Representative,3,Life Sciences,Male,31,25-34,9824,No,0,20,3,3,1,0-1,Yes,1
590,Human Resources,Human Resources,3,Human Resources,Female,34,25-34,9950,Yes,1,23,1,3,3,2-5,Yes,1
591,Research & Development,Laboratory Technician,1,Other,Male,42,35-44,2093,No,0,5,3,3,2,1-2,No,0
592,Sales,Sales Executive,3,Medical,Male,36,35-44,9980,No,0,10,4,2,10,5-10,No,0
593,Research & Development,Laboratory Technician,1,Technical Degree,Male,22,<25,3894,No,0,4,3,3,2,1-2,Yes,1
595,Sales,Sales Executive,2,Marketing,Female,48,45-54,4051,No,0,2,4,3,9,5-10,No,0
597,Sales,Manager,4,Life Sciences,Female,55,55+,16835,No,0,18,2,3,10,5-10,No,0
599,Sales,Sales Executive,2,Life Sciences,Male,41,35-44,6230,No,0,10,4,3,14,10+,No,0
600,Sales,Sales Executive,2,Marketing,Male,35,35-44,4717,No,0,1,3,3,11,10+,No,0
601,Research & Development,Manufacturing Director,4,Life Sciences,Female,40,35-44,13237,No,0,6,3,3,20,10+,No,0
602,Research & Development,Laboratory Technician,1,Life Sciences,Female,39,35-44,3755,No,0,8,3,3,8,5-10,No,0
604,Sales,Sales Executive,2,Life Sciences,Male,31,25-34,6582,Yes,1,2,4,4,6,5-10,No,0
605,Research & Development,Manufacturing Director,3,Medical,Male,42,35-44,7406,Yes,1,24,1,2,10,5-10,No,0
606,Sales,Sales Executive,2,Other,Male,45,45-54,4805,No,0,2,2,4,8,5-10,No,0
608,Human Resources,Human Resources,1,Life Sciences,Female,26,25-34,2741,Yes,1,17,3,2,7,5-10,Yes,1
611,Research & Development,Manufacturing Director,2,Technical Degree,Male,29,25-34,4262,No,0,19,4,4,3,2-5,No,0
612,Research & Development,Research Director,4,Medical,Female,33,25-34,16184,No,0,1,3,3,6,5-10,No,0
613,Sales,Manager,3,Life Sciences,Male,31,25-34,11557,No,0,7,4,2,5,2-5,No,0
614,Sales,Sales Representative,1,Marketing,Male,18,<25,1878,Yes,1,5,2,3,0,0-1,Yes,1
615,Sales,Sales Executive,3,Other,Male,40,35-44,10932,No,0,28,1,3,1,0-1,No,0
616,Research & Development,Healthcare Representative,2,Other,Female,41,35-44,6811,Yes,1,2,3,3,8,5-10,No,0
618,Sales,Sales Executive,2,Medical,Male,26,25-34,4306,No,0,29,3,3,0,0-1,No,0
620,Sales,Sales Executive,2,Medical,Female,35,35-44,4859,No,0,1,3,3,5,2-5,No,0
621,Sales,Sales Executive,2,Life Sciences,Male,34,25-34,5337,No,0,21,4,3,10,5-10,No,0
622,Research & Development,Laboratory Technician,1,Technical Degree,Male,26,25-34,2340,Yes,1,24,4,1,1,0-1,Yes,1
623,Research & Development,Manufacturing Director,3,Technical Degree,Female,37,35-44,7491,No,0,1,4,4,6,5-10,No,0
624,Research & Development,Healthcare Representative,3,Medical,Female,46,45-54,10527,No,0,18,3,2,2,1-2,No,0
625,Sales,Manager,4,Life Sciences,Female,41,35-44,16595,No,0,2,1,3,18,10+,No,0
626,Sales,Sales Executive,3,Medical,Male,37,35-44,8834,No,0,9,2,3,9,5-10,No,0
630,Research & Development,Research Scientist,2,Technical Degree,Male,52,45-54,5577,Yes,1,6,1,3,10,5-10,No,0
631,Sales,Sales Executive,2,Other,Male,32,25-34,4707,No,0,11,3,3,4,2-5,Yes,1
632,Sales,Sales Representative,1,Medical,Male,24,<25,2400,No,0,24,4,3,2,1-2,No,0
634,Research & Development,Healthcare Representative,2,Medical,Female,38,35-44,9824,No,0,10,3,3,1,0-1,No,0
635,Research & Development,Manufacturing Director,2,Life Sciences,Female,37,35-44,6447,No,0,1,2,2,6,5-10,No,0
638,Research & Development,Research Director,5,Life Sciences,Male,49,45-54,19502,Yes,1,18,3,3,31,10+,No,0
639,Research & Development,Research Scientist,1,Medical,Male,24,<25,2725,Yes,1,23,4,3,6,5-10,No,0
641,Sales,Sales Executive,2,Marketing,Male,26,25-34,6272,No,0,28,2,4,5,2-5,No,0
643,Research & Development,Laboratory Technician,1,Other,Male,24,<25,2127,No,0,17,2,3,1,0-1,No,0
644,Human Resources,Manager,5,Medical,Male,50,45-54,18200,No,0,3,2,3,32,10+,No,0
645,Sales,Sales Representative,1,Medical,Male,25,25-34,2096,No,0,13,3,3,7,5-10,No,0
647,Research & Development,Laboratory Technician,1,Life Sciences,Female,24,<25,2886,Yes,1,7,3,3,6,5-10,Yes,1
648,Sales,Sales Representative,1,Life Sciences,Male,30,25-34,2033,No,0,12,1,4,1,0-1,Yes,1
649,Research & Development,Research Scientist,1,Life Sciences,Male,34,25-34,3622,Yes,1,1,4,3,6,5-10,No,0
650,Sales,Sales Executive,2,Medical,Male,31,25-34,4233,No,0,13,1,1,3,2-5,Yes,1
652,Research & Development,Laboratory Technician,2,Other,Male,35,35-44,3681,No,0,25,4,3,3,2-5,No,0
653,Sales,Sales Executive,2,Medical,Male,31,25-34,5460,No,0,6,4,4,7,5-10,No,0
655,Research & Development,Research Scientist,1,Medical,Female,27,25-34,2187,No,0,6,3,2,5,2-5,No,0
656,Sales,Sales Executive,2,Marketing,Male,37,35-44,9602,Yes,1,2,3,2,3,2-5,No,0
657,Research & Development,Research Scientist,1,Life Sciences,Female,20,<25,2836,No,0,1,2,4,1,0-1,No,0
659,Research & Development,Healthcare Representative,2,Life Sciences,Female,42,35-44,4089,No,0,2,4,3,10,5-10,No,0
661,Research & Development,Research Director,4,Other,Male,43,35-44,16627,Yes,1,6,4,2,1,0-1,No,0
662,Research & Development,Research Scientist,1,Life Sciences,Female,38,35-44,2619,No,0,1,1,2,0,0-1,No,0
663,Research & Development,Laboratory Technician,2,Medical,Male,43,35-44,5679,Yes,1,9,3,3,8,5-10,No,0
664,Research & Development,Manager,4,Life Sciences,Female,48,45-54,15402,No,0,1,1,1,3,2-5,No,0
665,Human Resources,Human Resources,2,Life Sciences,Female,44,35-44,5985,No,0,1,3,4,2,1-2,No,0
666,Sales,Sales Representative,1,Technical Degree,Female,34,25-34,2579,Yes,1,14,3,3,8,5-10,No,0
667,Sales,Sales Representative,1,Marketing,Male,27,25-34,3041,No,0,2,1,3,4,2-5,Yes,1
669,Sales,Sales Representative,1,Technical Degree,Male,21,<25,3447,No,0,22,3,3,3,2-5,No,0
671,Research & Development,Manager,5,Other,Male,44,35-44,19513,Yes,1,3,4,4,2,1-2,No,0
675,Research & Development,Research Scientist,1,Medical,Male,22,<25,2773,No,0,6,3,3,2,1-2,No,0
677,Sales,Sales Executive,2,Marketing,Male,33,25-34,7104,No,0,8,3,3,5,2-5,No,0
679,Research & Development,Research Scientist,2,Life Sciences,Female,32,25-34,6322,Yes,1,9,4,2,6,5-10,No,0
680,Research & Development,Research Scientist,1,Medical,Female,30,25-34,2083,No,0,3,3,3,1,0-1,No,0
682,Sales,Sales Executive,2,Medical,Female,53,45-54,8381,No,0,1,1,4,14,10+,No,0
683,Research & Development,Research Scientist,1,Life Sciences,Male,34,25-34,2691,No,0,1,4,2,10,5-10,No,0
